cod_ncm,hscode,cod_pais_origem,urf_cod,via_transp_cod,sgl_uf_import,city_cod,cidade_import,combinacao_202406,combinacao_202407
29334990,2933,160,0817700,04,SP,3413009,COTIA
85414122,8541,160,0817800,01,MG,3152501,POUSO ALEGRE
85416090,8541,160,0817600,04,MG,3125101,EXTREMA
85176299,8517,160,0817600,04,MG,3132404,ITAJUBA
85414300,8541,160,0817800,01,MG,3104502,ARINOS
85411012,8541,160,0817600,04,MG,3134905,JACUTINGA
87082999,8708,160,0817800,01,SP,3409007,CAIEIRAS
84439990,8443,160,0817700,04,SP,3447809,SANTO ANDRE
90189099,9018,160,0817600,04,MG,3151800,POCOS DE CALDAS
85411012,8541,160,0817600,04,MG,3132404,ITAJUBA
85176215,8517,160,0817700,04,SP,3419071,HORTOLANDIA
29224961,2922,160,0817600,04,SP,3413108,CRAVINHOS
29339969,2933,160,0817800,01,RS,4319505,SAO SEBASTIAO DO CAI
85176900,8517,160,0817800,01,SP,3452403,SUMARE
84439939,8443,160,0717700,04,RJ,3304557,RIO DE JANEIRO
85411012,8541,160,0817800,01,MG,3125101,EXTREMA
85177900,8517,160,0817900,04,SP,3450308,SAO PAULO
29156029,2915,160,0817700,04,RJ,3304557,RIO DE JANEIRO
87089910,8708,160,0817800,01,SP,3423107,ITAQUAQUECETUBA
85176277,8517,160,0817700,04,RS,4309209,GRAVATAI
85414121,8541,160,0817800,01,RJ,3302254,ITATIAIA
29333946,2933,160,0817600,04,SP,3450308,SAO PAULO
85411021,8541,160,0817700,04,SP,3407001,BOITUVA
85414300,8541,160,0817800,01,SP,3409502,CAMPINAS
85413029,8541,160,0817700,04,SP,3427306,LOUVEIRA
87084090,8708,160,0817800,01,SP,3449904,SAO JOSE DOS CAMPOS
29221999,2922,160,0817600,04,SP,3431803,MONTE MOR
87082100,8708,160,0817800,01,MG,3152501,POUSO ALEGRE
84433113,8443,160,0817700,04,SP,3452205,SOROCABA
29215139,2921,160,0817700,04,SP,3449904,SAO JOSE DOS CAMPOS
29212200,2921,160,0817800,01,SP,3413801,DIADEMA
29211999,2921,160,0817600,04,SP,3422604,ITAPIRA
85177029,8517,160,0817700,04,SP,3405708,BARUERI
87087090,8708,160,0617700,07,MG,3106705,BETIM
85411011,8541,160,0817700,04,SP,3449805,SAO JOSE DO RIO PRETO
85412199,8541,160,0817800,01,SP,3456701,VINHEDO
29339959,2933,160,0817600,04,SP,3419071,HORTOLANDIA
85415100,8541,160,1017801,04,RS,4313904,PANAMBI
29339920,2933,160,0817800,01,SP,3425003,JANDIRA
29151210,2915,160,1017700,01,RS,4315800,ROCA SALES
29152910,2915,160,0927502,01,RS,4311627,LINDOLFO COLLOR
85176239,8517,160,1017700,01,RS,4314902,PORTO ALEGRE
87083090,8708,160,0817800,01,SP,3405708,BARUERI
29221919,2922,160,0817800,01,SP,3452205,SOROCABA
87089100,8708,160,0817800,01,SP,3403901,ARUJA
84439990,8443,160,0817700,04,SP,3429401,MAUA
85416010,8541,160,0817600,04,MG,3106705,BETIM
29224220,2922,160,0927800,01,SP,3410609,CARAPICUIBA
87089990,8708,160,0817800,01,MG,3106705,BETIM
87082999,8708,160,0817800,01,SP,3424006,ITUPEVA
85414011,8541,160,0817700,04,MG,3137601,LAGOA SANTA
87083019,8708,160,0817600,04,SP,3409205,CAJAMAR
